name,address,transmitted,received,time,created_at
www.ifpb.edu.br,200.10.10.10,10,10,42.50,2024-03-05 09:15:00
www.ifpb.edu.br,200.10.10.10,10,10,41.80,2024-03-05 11:30:00
www.ifpb.edu.br,200.10.10.10,10,9,44.10,2024-03-05 14:00:00
www.ifpb.edu.br,200.10.10.10,10,8,55.40,2024-03-05 16:45:00
www.ifpb.edu.br,200.10.10.10,10,10,39.20,2024-03-06 09:00:00
www.ifpb.edu.br,200.10.10.10,10,10,40.10,2024-03-06 15:20:00
www.ifpb.edu.br,200.10.10.10,10,9,46.30,2024-03-07 10:10:00
portal.ifrn.edu.br,200.10.10.11,10,7,85.00,2024-03-05 09:20:00
portal.ifrn.edu.br,200.10.10.11,10,6,92.40,2024-03-05 13:10:00
portal.ifrn.edu.br,200.10.10.11,10,8,78.90,2024-03-05 17:30:00
portal.ifrn.edu.br,200.10.10.11,10,7,88.10,2024-03-06 08:45:00
portal.ifrn.edu.br,200.10.10.11,10,5,115.30,2024-03-06 14:15:00
portal.ifrn.edu.br,200.10.10.11,10,8,80.50,2024-03-07 11:00:00
suap.ifpb.edu.br,200.10.10.12,10,10,28.40,2024-03-05 09:00:00
suap.ifpb.edu.br,200.10.10.12,10,9,31.20,2024-03-05 14:00:00
suap.ifpb.edu.br,200.10.10.12,10,10,29.10,2024-03-05 18:30:00
suap.ifpb.edu.br,200.10.10.12,10,10,27.90,2024-03-06 10:00:00
suap.ifpb.edu.br,200.10.10.12,10,8,35.60,2024-03-06 16:00:00
suap.ifpb.edu.br,200.10.10.12,10,10,28.70,2024-03-07 09:30:00
academico.ifpb.edu.br,200.10.10.13,10,10,33.00,2024-03-05 09:40:00
academico.ifpb.edu.br,200.10.10.13,10,9,36.50,2024-03-05 15:10:00
academico.ifpb.edu.br,200.10.10.13,10,10,32.80,2024-03-06 11:20:00
academico.ifpb.edu.br,200.10.10.13,10,7,48.20,2024-03-06 17:00:00
academico.ifpb.edu.br,200.10.10.13,10,10,34.10,2024-03-07 14:40:00
ead.ifpb.edu.br,200.10.10.14,10,10,38.20,2024-03-05 10:30:00
ead.ifpb.edu.br,200.10.10.14,10,10,39.00,2024-03-05 16:15:00
ead.ifpb.edu.br,200.10.10.14,10,9,41.50,2024-03-06 09:45:00
ead.ifpb.edu.br,200.10.10.14,10,10,37.80,2024-03-06 15:50:00
ead.ifpb.edu.br,200.10.10.14,10,8,45.10,2024-03-07 10:30:00
portal.ufcg.edu.br,150.165.111.10,10,8,64.20,2024-03-05 10:00:00
portal.ufcg.edu.br,150.165.111.10,10,7,72.80,2024-03-05 14:45:00
portal.ufcg.edu.br,150.165.111.10,10,9,61.00,2024-03-06 11:00:00
portal.ufcg.edu.br,150.165.111.10,10,8,68.50,2024-03-06 16:30:00
portal.ufcg.edu.br,150.165.111.10,10,6,82.40,2024-03-07 13:15:00
www.ufrn.br,177.20.100.50,10,9,51.00,2024-03-05 11:00:00
www.ufrn.br,177.20.100.50,10,8,58.30,2024-03-05 15:30:00
www.ufrn.br,177.20.100.50,10,10,49.50,2024-03-06 09:15:00
www.ufrn.br,177.20.100.50,10,9,53.20,2024-03-06 14:00:00
www.ufrn.br,177.20.100.50,10,7,66.80,2024-03-07 15:00:00
dns.google,8.8.8.8,10,10,14.20,2024-03-05 09:00:00
dns.google,8.8.8.8,10,10,13.80,2024-03-05 15:00:00
dns.google,8.8.8.8,10,10,14.50,2024-03-06 09:00:00
dns.google,8.8.8.8,10,10,13.90,2024-03-06 15:00:00
dns.google,8.8.8.8,10,10,14.10,2024-03-07 09:00:00
cloudflare-dns.com,1.1.1.1,10,10,11.50,2024-03-05 09:00:00
cloudflare-dns.com,1.1.1.1,10,10,11.20,2024-03-05 15:00:00
cloudflare-dns.com,1.1.1.1,10,10,11.80,2024-03-06 09:00:00
cloudflare-dns.com,1.1.1.1,10,10,11.30,2024-03-06 15:00:00
cloudflare-dns.com,1.1.1.1,10,10,11.60,2024-03-07 09:00:00
